STATE,30-Apr,29-Apr,28-Apr,27-Apr,26-Apr,25-Apr,24-Apr,23-Apr,22-Apr,21-Apr,20-Apr,19-Apr,18-Apr,17-Apr,16-Apr,15-Apr,14-Apr,13-Apr,12-Apr,11-Apr,10-Apr,9-Apr,8-Apr,7-Apr,6-Apr,5-Apr,4-Apr,3-Apr,2-Apr,1-Apr,31-Mar,30-Mar,29-Mar,28-Mar,27-Mar,26-Mar,25-Mar,24-Mar,23-Mar,22-Mar,21-Mar,20-Mar,19-Mar,18-Mar,17-Mar,16-Mar,15-Mar,14-Mar,13-Mar,12-Mar,11-Mar,10-Mar,9-Mar,8-Mar,7-Mar,6-Mar,5-Mar,4-Mar,3-Mar,2-Mar,1-Mar
Alaska,-24%,-24%,-27%,-29%,-42%,-33%,-31%,-36%,-31%,-33%,-33%,-43%,-38%,-31%,-37%,-32%,-37%,-35%,-52%,-42%,-39%,-41%,-35%,-37%,-38%,-47%,-39%,-38%,-39%,-36%,-40%,-38%,-44%,-37%,-33%,-36%,-31%,-28%,-26%,-26%,-22%,-17%,-17%,-6%,-3%,-2%,-2%,0%,0%,3%,4%,4%,6%,-1%,0%,3%,3%,5%,4%,6%,6%
Alabama,-39%,-39%,-38%,-35%,-48%,-41%,-39%,-42%,-40%,-40%,-38%,-52%,-45%,-42%,-44%,-42%,-44%,-41%,-69%,-45%,-43%,-43%,-43%,-42%,-39%,-48%,-44%,-41%,-42%,-41%,-40%,-37%,-44%,-38%,-36%,-36%,-35%,-34%,-31%,-36%,-27%,-25%,-20%,-14%,-9%,-4%,-1%,2%,-1%,-2%,0%,0%,3%,4%,7%,2%,0%,-1%,1%,7%,7%
Arkansas,-33%,-31%,-36%,-33%,-43%,-38%,-34%,-36%,-34%,-36%,-33%,-45%,-40%,-33%,-36%,-34%,-39%,-37%,-62%,-41%,-37%,-37%,-34%,-36%,-32%,-47%,-39%,-35%,-35%,-34%,-37%,-34%,-43%,-38%,-35%,-34%,-32%,-33%,-27%,-38%,-25%,-24%,-20%,-15%,-10%,-7%,-3%,-2%,-4%,-3%,-1%,-3%,-3%,8%,3%,-1%,-2%,-1%,-1%,1%,1%
Arizona,-36%,-37%,-37%,-38%,-48%,-42%,-38%,-38%,-36%,-37%,-36%,-48%,-42%,-37%,-36%,-37%,-37%,-38%,-59%,-42%,-37%,-36%,-37%,-37%,-36%,-45%,-41%,-36%,-37%,-35%,-33%,-31%,-40%,-33%,-30%,-30%,-29%,-30%,-26%,-33%,-27%,-22%,-20%,-15%,-11%,-6%,-7%,-4%,-6%,-5%,-4%,-3%,-2%,-2%,-2%,-2%,-1%,-2%,-2%,0%,0%
California,-46%,-46%,-47%,-46%,-50%,-49%,-46%,-46%,-46%,-47%,-47%,-52%,-50%,-47%,-48%,-47%,-48%,-48%,-60%,-51%,-48%,-48%,-48%,-48%,-47%,-52%,-50%,-47%,-47%,-47%,-47%,-46%,-51%,-50%,-47%,-47%,-46%,-46%,-44%,-49%,-46%,-40%,-34%,-29%,-22%,-11%,-8%,-5%,-4%,-3%,-3%,-3%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
Colorado,-39%,-40%,-38%,-40%,-48%,-46%,-41%,-41%,-42%,-41%,-43%,-50%,-48%,-44%,-46%,-43%,-44%,-47%,-64%,-48%,-44%,-43%,-44%,-43%,-43%,-49%,-48%,-45%,-45%,-43%,-44%,-44%,-49%,-48%,-42%,-41%,-36%,-34%,-31%,-36%,-33%,-32%,-33%,-24%,-20%,-10%,-6%,-3%,-4%,-3%,-2%,-2%,-3%,1%,-1%,0%,-1%,-2%,0%,0%,0%
Connecticut,-49%,-48%,-48%,-49%,-52%,-50%,-49%,-48%,-48%,-49%,-50%,-56%,-54%,-54%,-51%,-49%,-49%,-54%,-70%,-51%,-53%,-49%,-48%,-50%,-50%,-51%,-51%,-50%,-49%,-50%,-46%,-49%,-54%,-50%,-46%,-46%,-45%,-44%,-46%,-43%,-38%,-35%,-33%,-30%,-25%,-9%,-2%,-2%,-4%,-1%,-1%,-1%,3%,4%,1%,-2%,-1%,1%,0%,2%,2%
District of Columbia,-61%,-61%,-61%,-57%,-61%,-61%,-64%,-64%,-64%,-59%,-60%,-62%,-60%,-62%,-64%,-61%,-59%,-58%,-60%,-57%,-60%,-60%,-61%,-61%,-54%,-56%,-55%,-57%,-57%,-60%,-53%,-50%,-56%,-51%,-54%,-55%,-55%,-49%,-43%,-50%,-49%,-44%,-45%,-39%,-35%,-16%,-12%,-9%,-10%,-5%,-5%,-5%,-2%,-7%,1%,1%,0%,0%,0%,-2%,-2%
Delaware,-42%,-47%,-44%,-42%,-57%,-54%,-45%,-48%,-47%,-44%,-42%,-64%,-51%,-47%,-49%,-48%,-47%,-47%,-84%,-56%,-49%,-47%,-47%,-48%,-46%,-55%,-48%,-43%,-46%,-46%,-44%,-41%,-46%,-53%,-43%,-43%,-44%,-41%,-29%,-36%,-34%,-26%,-24%,-19%,-24%,-15%,-2%,-11%,-1%,-1%,-1%,-4%,-1%,-2%,0%,-4%,-3%,-1%,-4%,-7%,-7%
Florida,-45%,-45%,-45%,-44%,-53%,-50%,-47%,-46%,-46%,-46%,-45%,-55%,-52%,-47%,-47%,-47%,-47%,-46%,-66%,-53%,-49%,-47%,-47%,-47%,-45%,-54%,-52%,-46%,-44%,-44%,-43%,-41%,-50%,-47%,-42%,-40%,-39%,-37%,-33%,-40%,-34%,-25%,-21%,-18%,-12%,-8%,-7%,-5%,-4%,-4%,-4%,-4%,-4%,-3%,-3%,-4%,-4%,-4%,-3%,-3%,-3%
Georgia,-38%,-38%,-37%,-37%,-47%,-42%,-41%,-43%,-42%,-43%,-42%,-51%,-46%,-44%,-44%,-44%,-44%,-43%,-67%,-48%,-46%,-45%,-46%,-46%,-45%,-52%,-49%,-45%,-43%,-42%,-42%,-40%,-47%,-42%,-40%,-40%,-38%,-35%,-30%,-34%,-25%,-22%,-20%,-16%,-13%,-8%,-5%,-3%,-3%,-2%,-2%,-2%,-1%,0%,0%,-2%,-3%,-2%,-2%,2%,2%
Hawaii,-58%,-57%,-56%,-55%,-63%,-62%,-58%,-62%,-60%,-59%,-58%,-65%,-63%,-59%,-62%,-61%,-58%,-60%,-72%,-64%,-61%,-61%,-61%,-61%,-58%,-65%,-66%,-60%,-63%,-61%,-61%,-54%,-64%,-61%,-53%,-54%,-47%,-48%,-36%,-34%,-31%,-24%,-17%,-15%,-13%,-7%,-7%,-5%,-6%,-5%,-3%,-5%,-3%,-6%,-4%,-2%,-3%,-4%,-3%,-4%,-4%
Iowa,-39%,-42%,-39%,-39%,-47%,-43%,-39%,-39%,-41%,-39%,-36%,-50%,-42%,-40%,-40%,-39%,-39%,-39%,-63%,-43%,-40%,-41%,-42%,-38%,-35%,-48%,-43%,-39%,-39%,-38%,-37%,-36%,-46%,-43%,-36%,-39%,-36%,-36%,-32%,-43%,-33%,-28%,-29%,-25%,-13%,-6%,-8%,1%,1%,-1%,0%,0%,-2%,-1%,4%,2%,0%,-1%,-1%,0%,0%
Idaho,-29%,-28%,-27%,-28%,-46%,-38%,-31%,-30%,-31%,-32%,-31%,-49%,-40%,-33%,-33%,-33%,-33%,-35%,-59%,-40%,-33%,-33%,-32%,-33%,-33%,-52%,-43%,-33%,-35%,-35%,-35%,-33%,-48%,-38%,-33%,-32%,-24%,-20%,-18%,-31%,-20%,-13%,-12%,-10%,-9%,-6%,-12%,-3%,-2%,-2%,-3%,-4%,-2%,0%,-1%,0%,-3%,0%,0%,-1%,-1%
Illinois,-48%,-47%,-48%,-48%,-56%,-51%,-47%,-48%,-48%,-50%,-50%,-57%,-52%,-50%,-50%,-49%,-49%,-52%,-70%,-53%,-50%,-49%,-49%,-49%,-50%,-56%,-52%,-48%,-49%,-50%,-49%,-49%,-57%,-54%,-48%,-50%,-49%,-50%,-49%,-56%,-45%,-37%,-35%,-31%,-27%,-11%,-4%,-3%,-3%,-2%,-3%,-2%,-1%,0%,-1%,0%,-1%,-1%,-2%,-1%,-1%
Indiana,-41%,-40%,-40%,-38%,-51%,-45%,-43%,-42%,-39%,-43%,-42%,-56%,-49%,-45%,-44%,-44%,-43%,-45%,-73%,-49%,-48%,-45%,-42%,-43%,-43%,-57%,-52%,-45%,-47%,-44%,-46%,-44%,-56%,-52%,-45%,-44%,-44%,-37%,-33%,-41%,-33%,-26%,-24%,-19%,-15%,-6%,-1%,-5%,-2%,0%,0%,-1%,0%,1%,-1%,0%,0%,0%,0%,1%,1%
Kansas,-37%,-35%,-34%,-33%,-42%,-40%,-34%,-36%,-36%,-34%,-35%,-45%,-39%,-36%,-38%,-36%,-36%,-36%,-59%,-40%,-37%,-39%,-37%,-36%,-34%,-42%,-40%,-37%,-37%,-36%,-34%,-33%,-38%,-39%,-30%,-33%,-33%,-28%,-22%,-31%,-20%,-16%,-17%,-13%,-8%,-6%,-8%,-1%,-1%,-2%,-2%,-1%,-3%,1%,5%,1%,0%,-1%,1%,1%,1%
Kentucky,-48%,-46%,-45%,-46%,-53%,-52%,-48%,-51%,-49%,-49%,-45%,-53%,-51%,-49%,-49%,-50%,-50%,-48%,-64%,-51%,-47%,-49%,-51%,-47%,-48%,-54%,-52%,-47%,-47%,-47%,-44%,-45%,-51%,-48%,-45%,-45%,-44%,-42%,-35%,-41%,-37%,-30%,-28%,-25%,-20%,-10%,-7%,-5%,-4%,-2%,-4%,1%,-1%,1%,2%,0%,-2%,-2%,-1%,-2%,-2%
Louisiana,-43%,-45%,-43%,-42%,-55%,-50%,-43%,-43%,-44%,-45%,-44%,-57%,-51%,-46%,-45%,-46%,-46%,-46%,-73%,-52%,-54%,-46%,-47%,-46%,-44%,-54%,-50%,-45%,-45%,-45%,-44%,-43%,-53%,-49%,-43%,-43%,-43%,-40%,-35%,-43%,-37%,-28%,-25%,-21%,-18%,-5%,-4%,-3%,-2%,-2%,-3%,-2%,0%,-1%,-1%,-1%,-2%,-1%,-2%,1%,1%
Massachusetts,-58%,-56%,-57%,-56%,-64%,-62%,-57%,-55%,-56%,-57%,-57%,-64%,-63%,-57%,-56%,-59%,-57%,-58%,-74%,-63%,-57%,-57%,-57%,-57%,-56%,-65%,-64%,-59%,-57%,-57%,-57%,-57%,-62%,-60%,-57%,-57%,-57%,-51%,-46%,-54%,-47%,-39%,-36%,-35%,-29%,-16%,-7%,-7%,-7%,-2%,-1%,-4%,-2%,0%,-2%,-2%,-3%,-2%,-2%,-2%,-2%
Maryland,-50%,-49%,-49%,-47%,-51%,-49%,-51%,-50%,-50%,-50%,-47%,-54%,-52%,-51%,-51%,-51%,-51%,-49%,-67%,-51%,-53%,-50%,-50%,-50%,-47%,-53%,-51%,-51%,-50%,-49%,-49%,-43%,-48%,-49%,-45%,-47%,-44%,-46%,-37%,-42%,-35%,-30%,-26%,-24%,-18%,-4%,-1%,5%,1%,2%,3%,3%,6%,8%,8%,2%,1%,1%,2%,3%,3%
Maine,-44%,-42%,-42%,-47%,-59%,-55%,-47%,-47%,-44%,-48%,-52%,-61%,-57%,-52%,-49%,-51%,-46%,-55%,-73%,-62%,-54%,-52%,-53%,-48%,-54%,-65%,-62%,-54%,-53%,-54%,-50%,-55%,-58%,-60%,-50%,-48%,-47%,-43%,-47%,-49%,-49%,-43%,-37%,-31%,-18%,-7%,-11%,-4%,0%,3%,2%,0%,3%,5%,-5%,-1%,1%,0%,-1%,8%,8%
Michigan,-55%,-55%,-56%,-57%,-61%,-62%,-59%,-59%,-59%,-60%,-59%,-64%,-65%,-62%,-61%,-62%,-62%,-61%,-79%,-65%,-63%,-62%,-61%,-61%,-60%,-65%,-66%,-60%,-59%,-59%,-60%,-60%,-63%,-62%,-57%,-57%,-56%,-54%,-40%,-42%,-38%,-32%,-29%,-25%,-21%,-13%,-5%,-4%,-5%,-3%,-3%,-4%,-4%,-2%,0%,-3%,-3%,-2%,-3%,0%,0%
Minnesota,-41%,-42%,-42%,-39%,-52%,-48%,-41%,-43%,-42%,-42%,-41%,-52%,-49%,-44%,-45%,-44%,-44%,-43%,-70%,-53%,-47%,-46%,-46%,-46%,-45%,-57%,-52%,-48%,-47%,-49%,-46%,-45%,-54%,-52%,-41%,-40%,-41%,-40%,-36%,-48%,-43%,-36%,-35%,-29%,-16%,-8%,-5%,-2%,-1%,-1%,-3%,-2%,-1%,-2%,-3%,0%,-1%,-2%,0%,-1%,-1%
Missouri,-40%,-41%,-41%,-38%,-45%,-41%,-38%,-41%,-40%,-42%,-40%,-49%,-45%,-41%,-43%,-43%,-45%,-42%,-62%,-48%,-43%,-44%,-45%,-46%,-41%,-46%,-42%,-40%,-43%,-41%,-41%,-37%,-46%,-38%,-35%,-39%,-39%,-37%,-29%,-32%,-24%,-19%,-18%,-14%,-11%,-5%,-4%,0%,1%,-2%,-1%,-1%,-1%,0%,5%,3%,0%,-1%,-2%,-1%,-1%
Mississippi,-35%,-39%,-36%,-36%,-46%,-43%,-40%,-41%,-44%,-41%,-40%,-51%,-47%,-45%,-43%,-44%,-43%,-42%,-69%,-50%,-47%,-45%,-47%,-43%,-41%,-49%,-46%,-40%,-38%,-39%,-37%,-34%,-43%,-42%,-41%,-40%,-38%,-37%,-32%,-38%,-28%,-22%,-18%,-15%,-14%,-10%,-7%,-5%,-5%,-3%,-5%,-5%,-8%,-6%,-3%,-4%,-4%,-8%,-4%,-6%,-6%
Montana,-26%,-22%,-24%,-26%,-40%,-35%,-27%,-30%,-28%,-28%,-34%,-46%,-39%,-33%,-34%,-34%,-35%,-39%,-69%,-41%,-35%,-35%,-37%,-37%,-40%,-49%,-44%,-38%,-39%,-41%,-41%,-41%,-48%,-45%,-31%,-29%,-28%,-29%,-26%,-39%,-28%,-25%,-21%,-17%,-9%,-7%,-7%,-2%,-3%,1%,-1%,0%,2%,-2%,-2%,-1%,-2%,1%,-1%,-3%,-3%
North Carolina,-43%,-41%,-42%,-40%,-48%,-45%,-42%,-44%,-42%,-43%,-41%,-50%,-46%,-42%,-43%,-43%,-45%,-45%,-62%,-47%,-47%,-42%,-43%,-43%,-41%,-50%,-47%,-44%,-43%,-43%,-43%,-38%,-46%,-43%,-38%,-37%,-34%,-33%,-30%,-34%,-29%,-25%,-23%,-19%,-12%,-6%,-2%,-2%,-3%,-3%,-3%,-3%,-1%,2%,0%,-2%,-2%,-2%,-3%,3%,3%
North Dakota,-22%,-22%,-20%,-22%,-37%,-32%,-25%,-20%,-22%,-21%,-25%,-33%,-25%,-24%,-28%,-26%,-24%,-30%,-60%,-34%,-31%,-26%,-26%,-23%,-24%,-37%,-27%,-26%,-29%,-26%,-20%,-25%,-40%,-32%,-26%,-25%,-22%,-20%,-20%,-32%,-23%,-18%,-13%,-9%,-8%,-11%,-7%,0%,-7%,-5%,-5%,-3%,-5%,-8%,-3%,-6%,-3%,-6%,-3%,-8%,-8%
Nebraska,-26%,-28%,-29%,-28%,-31%,-29%,-26%,-26%,-28%,-30%,-28%,-31%,-32%,-27%,-29%,-27%,-29%,-31%,-53%,-32%,-25%,-28%,-25%,-30%,-27%,-29%,-29%,-25%,-28%,-25%,-28%,-25%,-29%,-29%,-22%,-23%,-21%,-23%,-21%,-27%,-21%,-19%,-17%,-13%,-14%,-7%,-2%,-5%,-2%,-2%,-2%,-5%,-3%,0%,2%,1%,-2%,-1%,-1%,1%,1%
New Hampshire,-47%,-45%,-46%,-45%,-59%,-51%,-47%,-48%,-46%,-49%,-43%,-56%,-52%,-49%,-46%,-48%,-49%,-48%,-81%,-52%,-51%,-50%,-49%,-52%,-48%,-57%,-56%,-49%,-49%,-50%,-48%,-48%,-57%,-53%,-48%,-45%,-43%,-44%,-40%,-46%,-36%,-36%,-31%,-25%,-20%,-13%,-2%,2%,-2%,-2%,-3%,-4%,-4%,4%,6%,-1%,-3%,-5%,-3%,1%,1%
New Jersey,-50%,-49%,-50%,-50%,-56%,-52%,-50%,-49%,-48%,-49%,-50%,-55%,-54%,-51%,-51%,-51%,-50%,-54%,-71%,-55%,-51%,-49%,-48%,-47%,-47%,-52%,-52%,-48%,-49%,-46%,-46%,-45%,-53%,-50%,-44%,-45%,-44%,-43%,-42%,-47%,-39%,-31%,-28%,-24%,-19%,-7%,-6%,-2%,-2%,-1%,1%,1%,2%,4%,4%,1%,1%,2%,1%,5%,5%
New Mexico,-41%,-40%,-43%,-42%,-55%,-49%,-41%,-45%,-43%,-44%,-43%,-51%,-50%,-42%,-45%,-44%,-45%,-44%,-67%,-53%,-45%,-46%,-44%,-44%,-42%,-56%,-49%,-43%,-44%,-45%,-43%,-43%,-54%,-51%,-43%,-43%,-42%,-38%,-28%,-36%,-33%,-24%,-20%,-11%,-8%,-5%,-4%,-8%,-3%,0%,-1%,-1%,1%,2%,-3%,-1%,1%,0%,0%,5%,5%
Nevada,-51%,-51%,-52%,-51%,-60%,-60%,-52%,-53%,-52%,-53%,-52%,-61%,-61%,-54%,-54%,-54%,-55%,-54%,-69%,-62%,-52%,-54%,-53%,-53%,-53%,-62%,-61%,-52%,-52%,-54%,-52%,-51%,-59%,-59%,-49%,-50%,-52%,-49%,-48%,-55%,-51%,-44%,-43%,-29%,-13%,-6%,-6%,-6%,-5%,-3%,-3%,-3%,-2%,-3%,-5%,-3%,-2%,-2%,-3%,-2%,-2%
New York,-58%,-58%,-59%,-59%,-64%,-62%,-60%,-59%,-60%,-60%,-60%,-64%,-65%,-61%,-62%,-62%,-62%,-64%,-76%,-64%,-62%,-62%,-61%,-60%,-61%,-65%,-64%,-60%,-61%,-60%,-61%,-59%,-64%,-62%,-57%,-58%,-56%,-56%,-55%,-55%,-50%,-42%,-39%,-35%,-30%,-17%,-8%,-6%,-6%,-5%,-3%,-4%,-1%,1%,-2%,-2%,-3%,-2%,-2%,0%,0%
Ohio,-42%,-41%,-44%,-44%,-51%,-48%,-42%,-43%,-42%,-44%,-44%,-52%,-50%,-45%,-45%,-45%,-48%,-48%,-74%,-51%,-47%,-46%,-46%,-47%,-47%,-54%,-53%,-47%,-47%,-46%,-47%,-48%,-54%,-53%,-47%,-47%,-47%,-45%,-36%,-38%,-36%,-27%,-27%,-23%,-19%,-14%,-4%,-2%,-1%,0%,-1%,-1%,0%,-1%,-1%,-1%,-1%,1%,-1%,-2%,-2%
Oklahoma,-27%,-27%,-28%,-30%,-43%,-34%,-30%,-29%,-30%,-29%,-31%,-44%,-37%,-33%,-32%,-32%,-33%,-34%,-59%,-37%,-34%,-33%,-31%,-32%,-33%,-45%,-37%,-33%,-30%,-30%,-31%,-32%,-42%,-37%,-31%,-31%,-25%,-24%,-22%,-33%,-26%,-19%,-19%,-16%,-11%,-9%,-7%,-4%,-4%,-3%,-3%,-2%,-3%,-3%,-1%,-4%,-2%,-1%,-3%,-4%,-4%
Oregon,-44%,-43%,-46%,-45%,-53%,-48%,-44%,-44%,-45%,-45%,-46%,-55%,-49%,-46%,-45%,-45%,-47%,-48%,-62%,-50%,-47%,-46%,-45%,-47%,-48%,-56%,-53%,-47%,-47%,-47%,-48%,-48%,-55%,-51%,-46%,-47%,-47%,-45%,-43%,-47%,-40%,-34%,-32%,-27%,-18%,-8%,-7%,-6%,-2%,-1%,-1%,-2%,-1%,-1%,-1%,-2%,-2%,0%,-1%,1%,1%
Pennsylvania,-50%,-49%,-50%,-49%,-56%,-52%,-51%,-51%,-51%,-51%,-51%,-56%,-54%,-52%,-53%,-52%,-55%,-55%,-75%,-57%,-55%,-54%,-53%,-54%,-53%,-60%,-57%,-55%,-54%,-54%,-55%,-52%,-59%,-58%,-54%,-53%,-54%,-53%,-48%,-53%,-48%,-42%,-36%,-33%,-27%,-12%,-4%,0%,-1%,1%,3%,2%,3%,6%,4%,2%,3%,3%,1%,5%,5%
Puerto Rico,-70%,-68%,-66%,-67%,-80%,-74%,-72%,-72%,-72%,-71%,-69%,-82%,-77%,-75%,-75%,-74%,-72%,-71%,-87%,-86%,-92%,-78%,-76%,-74%,-73%,-91%,-79%,-77%,-77%,-75%,-73%,-69%,-78%,-76%,-72%,-72%,-71%,-67%,-64%,-69%,-68%,-65%,-63%,-58%,-44%,-33%,-3%,0%,0%,4%,7%,17%,16%,2%,3%,1%,6%,9%,18%,2%,2%
Rhode Island,-46%,-49%,-47%,-50%,-54%,-50%,-48%,-42%,-43%,-45%,-44%,-59%,-51%,-43%,-41%,-44%,-46%,-53%,-69%,-50%,-46%,-43%,-43%,-49%,-45%,-54%,-48%,-48%,-44%,-47%,-46%,-49%,-62%,-47%,-44%,-44%,-41%,-40%,-36%,-47%,-40%,-35%,-32%,-33%,-28%,-10%,-7%,-4%,-6%,-4%,-5%,2%,6%,1%,0%,1%,2%,2%,-1%,2%,2%
South Carolina,-35%,-36%,-34%,-33%,-46%,-39%,-36%,-37%,-36%,-36%,-36%,-51%,-45%,-38%,-38%,-40%,-39%,-38%,-71%,-43%,-41%,-38%,-39%,-38%,-33%,-45%,-41%,-36%,-38%,-36%,-35%,-31%,-41%,-36%,-32%,-32%,-31%,-30%,-26%,-29%,-26%,-21%,-18%,-15%,-7%,-3%,0%,-1%,-1%,0%,0%,1%,2%,4%,1%,1%,0%,-1%,1%,-1%,-1%
South Dakota,-23%,-26%,-23%,-26%,-39%,-24%,-21%,-23%,-26%,-24%,-27%,-37%,-28%,-27%,-29%,-28%,-28%,-31%,-60%,-31%,-22%,-24%,-24%,-28%,-25%,-41%,-31%,-25%,-30%,-23%,-24%,-24%,-29%,-25%,-20%,-25%,-25%,-22%,-15%,-15%,-13%,-8%,-12%,-7%,-6%,-5%,-1%,-10%,-3%,-7%,-5%,-6%,-4%,1%,-1%,-3%,-6%,-7%,-6%,-3%,-3%
Tennessee,-36%,-38%,-38%,-36%,-48%,-42%,-39%,-40%,-39%,-39%,-37%,-49%,-44%,-39%,-40%,-41%,-41%,-39%,-71%,-42%,-41%,-40%,-40%,-40%,-37%,-49%,-43%,-37%,-37%,-36%,-37%,-33%,-47%,-35%,-34%,-34%,-33%,-33%,-26%,-30%,-22%,-16%,-14%,-11%,-10%,-5%,-3%,0%,-3%,-2%,-1%,-1%,-1%,2%,0%,-1%,0%,-2%,-3%,2%,2%
Texas,-38%,-38%,-39%,-37%,-46%,-43%,-39%,-40%,-40%,-40%,-39%,-48%,-47%,-42%,-42%,-42%,-42%,-41%,-60%,-49%,-46%,-42%,-42%,-42%,-41%,-50%,-48%,-42%,-43%,-42%,-42%,-40%,-48%,-46%,-41%,-41%,-39%,-35%,-29%,-37%,-30%,-24%,-21%,-17%,-13%,-7%,-7%,-5%,-5%,-4%,-3%,-4%,-4%,-2%,-1%,-2%,-3%,-3%,-3%,-1%,-1%
Utah,-24%,-24%,-24%,-22%,-48%,-30%,-25%,-25%,-24%,-26%,-23%,-51%,-30%,-26%,-25%,-25%,-26%,-24%,-60%,-33%,-27%,-26%,-26%,-26%,-23%,-46%,-33%,-26%,-26%,-25%,-25%,-21%,-43%,-27%,-23%,-21%,-21%,-21%,-19%,-42%,-24%,-19%,-18%,-18%,-11%,-5%,-18%,-6%,-5%,-5%,-2%,-2%,-2%,2%,-2%,-1%,-3%,-2%,-2%,0%,0%
Virginia,-43%,-41%,-39%,-39%,-49%,-47%,-41%,-41%,-40%,-39%,-41%,-49%,-47%,-42%,-42%,-42%,-40%,-43%,-61%,-46%,-43%,-42%,-42%,-40%,-40%,-48%,-44%,-40%,-41%,-40%,-38%,-36%,-45%,-43%,-37%,-36%,-37%,-33%,-29%,-37%,-31%,-24%,-23%,-18%,-12%,-9%,-6%,-5%,-5%,-4%,-3%,-2%,-1%,-1%,-2%,-1%,-2%,-4%,-1%,-1%,-1%
Vermont,-61%,-57%,-59%,-53%,-72%,-73%,-57%,-61%,-63%,-59%,-53%,-77%,-77%,-61%,-63%,-63%,-59%,-60%,-80%,-71%,-59%,-61%,-59%,-59%,-51%,-70%,-69%,-54%,-55%,-59%,-45%,-47%,-70%,-69%,-44%,-53%,-45%,-39%,-34%,-49%,-46%,-37%,-35%,-21%,-23%,-7%,-14%,-15%,-2%,-3%,-5%,-2%,-5%,-9%,-13%,0%,-1%,-9%,-11%,-6%,-6%
Washington,-43%,-41%,-42%,-43%,-51%,-48%,-43%,-44%,-42%,-42%,-43%,-52%,-50%,-44%,-45%,-45%,-45%,-46%,-61%,-51%,-46%,-47%,-46%,-46%,-47%,-53%,-51%,-47%,-47%,-46%,-46%,-46%,-53%,-50%,-45%,-46%,-41%,-38%,-37%,-41%,-37%,-33%,-32%,-27%,-24%,-16%,-11%,-8%,-7%,-7%,-4%,-4%,-3%,-4%,-3%,-3%,-3%,-2%,-1%,-3%,-3%
Wisconsin,-35%,-36%,-36%,-35%,-46%,-42%,-37%,-37%,-37%,-38%,-39%,-49%,-45%,-40%,-40%,-41%,-43%,-42%,-66%,-47%,-41%,-41%,-41%,-41%,-40%,-53%,-48%,-39%,-41%,-42%,-42%,-42%,-51%,-48%,-42%,-42%,-41%,-40%,-33%,-45%,-38%,-30%,-29%,-26%,-14%,-6%,-5%,-3%,0%,-1%,-1%,-2%,0%,1%,1%,-1%,1%,0%,-2%,3%,3%
West Virginia,-51%,-49%,-48%,-52%,-63%,-56%,-53%,-55%,-51%,-51%,-54%,-59%,-59%,-53%,-53%,-49%,-49%,-58%,-79%,-58%,-54%,-53%,-52%,-50%,-53%,-63%,-59%,-52%,-52%,-54%,-50%,-52%,-60%,-59%,-55%,-53%,-52%,-41%,-42%,-44%,-41%,-35%,-32%,-22%,-9%,-10%,0%,-3%,-3%,-1%,-2%,-1%,-5%,-1%,-3%,-4%,-5%,-2%,-2%,-2%,-2%
Wyoming,-32%,-25%,-28%,-27%,-47%,-38%,-29%,-34%,-31%,-30%,-31%,-43%,-33%,-28%,-31%,-32%,-30%,-31%,-57%,-41%,-31%,-27%,-29%,-24%,-30%,-41%,-44%,-30%,-35%,-34%,-26%,-29%,-51%,-41%,-31%,-31%,-31%,-29%,-19%,-43%,-32%,-28%,-23%,-11%,-7%,-10%,-12%,-2%,-4%,-2%,-2%,2%,3%,-4%,1%,-3%,-1%,-1%,3%,-12%,-12%
