Summons Number,Violation Code,Violation Time,House Number,Street Name,City & State,Zip Code,Lat,Long
8725653684,71,0319P,235,Bedford Ave,"Brooklyn,  NY",11211,,
8725653696,20,0322P,235,Bedford Ave,"Brooklyn,  NY",11211,,
8725653702,20,0324P,235,Bedford Ave,"Brooklyn,  NY",11211,,
8670481194,21,1138A,133,Frost St,"Brooklyn,  NY",11211,,
8670481212,21,1140A,133,Frost St,"Brooklyn,  NY",11211,,
8670481200,21,1139A,133,Frost St,"Brooklyn,  NY",11211,,
8670481224,21,1141A,141,Frost St,"Brooklyn,  NY",11211,,
8670481236,21,1142A,145,Frost St,"Brooklyn,  NY",11211,,
8670481248,21,1143A,151,Frost St,"Brooklyn,  NY",11211,,
8708932311,71,0148P,168,Frost St,"Brooklyn,  NY",11211,,
8702766942,21,1153A,175,Frost St,"Brooklyn,  NY",11211,,
8702766905,21,1147A,237,Frost St,"Brooklyn,  NY",11211,,
8702766917,21,1149A,239,Frost St,"Brooklyn,  NY",11211,,
8702766929,21,1149A,245,Frost St,"Brooklyn,  NY",11211,,
8702766930,21,1150A,247,Frost St,"Brooklyn,  NY",11211,,
8699770583,71,0749A,290,Frost St,"Brooklyn,  NY",11211,,
8699770595,70,0753A,340,Frost St,"Brooklyn,  NY",11211,,
8636958866,21,1153A,471,Humboldt St,"Brooklyn,  NY",11211,,
1438401164,46,0730A,32,Jackson St,"Brooklyn,  NY",11211,,
8692589627,21,0952A,59,Jackson St,"Brooklyn,  NY",11211,,
8692589639,21,0953A,59,Jackson St,"Brooklyn,  NY",11211,,
8692589603,21,0948A,75,Jackson St,"Brooklyn,  NY",11211,,
8692589585,21,0946A,103,Jackson St,"Brooklyn,  NY",11211,,
8692589597,21,0946A,107,Jackson St,"Brooklyn,  NY",11211,,
8692589573,21,0944A,120,Jackson St,"Brooklyn,  NY",11211,,
8670481303,71,1154A,129,Jackson St,"Brooklyn,  NY",11211,,
8699770911,21,1141A,129,Jackson St,"Brooklyn,  NY",11211,,
8699770923,21,1142A,135,Jackson St,"Brooklyn,  NY",11211,,
8699770935,21,1145A,159,Jackson St,"Brooklyn,  NY",11211,,
8699770947,21,1146A,167,Jackson St,"Brooklyn,  NY",11211,,
8699770959,21,1147A,169,Jackson St,"Brooklyn,  NY",11211,,
8692589792,21,1148A,181,Jackson St,"Brooklyn,  NY",11211,,
8692589780,21,1146A,199,Jackson St,"Brooklyn,  NY",11211,,
8699770546,71,0729A,199,Jackson St,"Brooklyn,  NY",11211,,
8692589755,21,1143A,205,Jackson St,"Brooklyn,  NY",11211,,
8692589767,21,1144A,207,Jackson St,"Brooklyn,  NY",11211,,
8692589779,21,1145A,207,Jackson St,"Brooklyn,  NY",11211,,
8699770558,71,0733A,243,Jackson St,"Brooklyn,  NY",11211,,
8708932293,71,0129P,300,Jackson St,"Brooklyn,  NY",11211,,
8708932300,71,0131P,300,Jackson St,"Brooklyn,  NY",11211,,
8611688521,71,0207P,278,N 6th St,"Brooklyn,  NY",11211,,
8611688557,71,0227P,204,N 8th St,"Brooklyn,  NY",11211,,
8611688600,70,0248P,167,N 9th St,"Brooklyn,  NY",11211,,
8611688594,71,0246P,177,N 9th St,"Brooklyn,  NY",11211,,
8702767170,71,0133P,12,Ash St,"Brooklyn,  NY",11222,,
8670481133,14,1128A,98,Bayard St,"Brooklyn,  NY",11222,,
8670481145,14,1129A,106,Bayard St,"Brooklyn,  NY",11222,,
8670481157,14,1131A,106,Bayard St,"Brooklyn,  NY",11222,,
8670481169,14,1131A,106,Bayard St,"Brooklyn,  NY",11222,,
8702766838,71,1011A,31,Beadel St,"Brooklyn,  NY",11222,,
8611688648,38,0323P,6,Bedford Ave,"Brooklyn,  NY",11222,,
8611688636,71,0321P,10,Bedford Ave,"Brooklyn,  NY",11222,,
8670481364,70,0351P,50,Bedford Ave,"Brooklyn,  NY",11222,,
1449807630,40,0740P,7,BELL SLIP,"Brooklyn,  NY",11222,,
8678424930,70,1149A,35,Box St,"Brooklyn,  NY",11222,,
8708854853,20,1149A,44,Box St,"Brooklyn,  NY",11222,,
8718762293,71,1004A,68,Box St,"Brooklyn,  NY",11222,,
8702766980,71,1223P,5,Bridgewater St,"Brooklyn,  NY",11222,,
8702766991,71,1225P,5,Bridgewater St,"Brooklyn,  NY",11222,,
8702766978,71,1221P,50,Bridgewater St,"Brooklyn,  NY",11222,,
8611688764,38,0545P,123,Greenpoint Ave,"Brooklyn,  NY",11222,,
8636958829,21,1142A,498,Humboldt St,"Brooklyn,  NY",11222,,
8699770467,70,0338P,564,Humboldt St,"Brooklyn,  NY",11222,,
8699770479,70,0339P,566,Humboldt St,"Brooklyn,  NY",11222,,
8702767296,14,0240P,810,Humboldt St,"Brooklyn,  NY",11222,,
8702767302,14,0240P,810,Humboldt St,"Brooklyn,  NY",11222,,
8702767314,14,0241P,810,Humboldt St,"Brooklyn,  NY",11222,,
8702767284,14,0238P,824,Humboldt St,"Brooklyn,  NY",11222,,
8702767272,14,0237P,830,Humboldt St,"Brooklyn,  NY",11222,,
8702767259,71,0232P,854,Humboldt St,"Brooklyn,  NY",11222,,
8611688703,38,0509P,724,Manhattan Ave,"Brooklyn,  NY",11222,,
8611688650,71,0335P,747,Manhattan Ave,"Brooklyn,  NY",11222,,
8611688715,38,0515P,775,Manhattan Ave,"Brooklyn,  NY",11222,,
8611688727,71,0516P,788,Manhattan Ave,"Brooklyn,  NY",11222,,
8611688740,38,0529P,861,Manhattan Ave,"Brooklyn,  NY",11222,,
8611688697,38,0349P,119,Meserole Ave,"Brooklyn,  NY",11222,,
8649427054,38,1221P,31,Nassau Ave,"Brooklyn,  NY",11222,,
8649427066,38,1222P,31,Nassau Ave,"Brooklyn,  NY",11222,,
8649427078,38,1230P,85,Nassau Ave,"Brooklyn,  NY",11222,,
8698408382,19,1059A,99,Nassau Ave,"Brooklyn,  NY",11222,,
8670481339,70,0155P,112,Nassau Ave,"Brooklyn,  NY",11222,,
8708932438,40,0518P,225,Nassau Ave,"Brooklyn,  NY",11222,,
8698408370,19,1050A,249,Nassau Ave,"Brooklyn,  NY",11222,,
1447463377,46,0554P,164,BEDFORD AVE,"Brooklyn,  NY",11249,,
8649427030,20,1205P,69,Berry St,"Brooklyn,  NY",11249,,
8580459527,20,0251P,69,Berry St,"Brooklyn,  NY",11249,,
8649427029,71,1204P,72,Berry St,"Brooklyn,  NY",11249,,
8649427017,71,1155A,159,Berry St,"Brooklyn,  NY",11249,,
8649426992,40,1149A,186,Berry St,"Brooklyn,  NY",11249,,
8649427005,71,1150A,186,Berry St,"Brooklyn,  NY",11249,,
8611688612,71,0258P,148,N 10th St,"Brooklyn,  NY",11249,,
8579222023,16,0813A,79,N 5th St,"Brooklyn,  NY",11249,,
8611688478,71,0136P,109,N 5th St,"Brooklyn,  NY",11249,,
8611688480,71,0145P,112,N 6th St,"Brooklyn,  NY",11249,,
8611688491,71,0148P,126,N 6th St,"Brooklyn,  NY",11249,,
8677378364,71,0938A,232,Calyer St,"Brooklyn,  NY",,,
8702767193,71,0144P,96,Clay St,"Brooklyn,  NY",,,
8702767200,71,0147P,146,Clay St,"Brooklyn,  NY",,,
8708932268,71,1141A,5,Commercial St,"Brooklyn,  NY",,,
8702767144,16,0120P,65,Commercial St,"Brooklyn,  NY",,,
8702767132,71,0118P,65,Commercial St,"Brooklyn,  NY",,,
8692589550,21,0940A,23,Conselyea St,"Brooklyn,  NY",,,
8692589561,21,0940A,25,Conselyea St,"Brooklyn,  NY",,,
8692589548,21,0938A,39,Conselyea St,"Brooklyn,  NY",,,
8699770820,21,0948A,64,Conselyea St,"Brooklyn,  NY",,,
8699770807,21,0946A,72,Conselyea St,"Brooklyn,  NY",,,
8699770819,21,0947A,72,Conselyea St,"Brooklyn,  NY",,,
8699770790,21,0946A,74,Conselyea St,"Brooklyn,  NY",,,
8699770789,21,0945A,78,Conselyea St,"Brooklyn,  NY",,,
8699770777,21,0944A,80,Conselyea St,"Brooklyn,  NY",,,
8699770832,21,0949A,82,Conselyea St,"Brooklyn,  NY",,,
8699770741,21,0940A,92,Conselyea St,"Brooklyn,  NY",,,
8699770730,21,0939A,95,Conselyea St,"Brooklyn,  NY",,,
8699770728,21,0937A,105,Conselyea St,"Brooklyn,  NY",,,
8699770893,21,1137A,133,Conselyea St,"Brooklyn,  NY",,,
8692589731,21,1136A,137,Conselyea St,"Brooklyn,  NY",,,
8677378327,71,0923A,11,Diamond St,"Brooklyn,  NY",,,
8677378339,71,0924A,16,Diamond St,"Brooklyn,  NY",,,
8677378340,71,0927A,65,Diamond St,"Brooklyn,  NY",,,
8677378352,71,0934A,193,Diamond St,"Brooklyn,  NY",,,
8725653830,16,0435P,66,Dobbin St,"Brooklyn,  NY",,,
8725653866,16,0440P,66,Dobbin St,"Brooklyn,  NY",,,
8725653842,16,0437P,66,Dobbin St,"Brooklyn,  NY",,,
8725653854,16,0439P,66,Dobbin St,"Brooklyn,  NY",,,
8725653878,16,0551P,88,Dobbin St,"Brooklyn,  NY",,,
8725653880,16,0553P,88,Dobbin St,"Brooklyn,  NY",,,
8725653805,20,0427P,117,Dobbin St,"Brooklyn,  NY",,,
8725653817,71,0428P,117,Dobbin St,"Brooklyn,  NY",,,
8725653829,20,0430P,117,Dobbin St,"Brooklyn,  NY",,,
8678424850,71,0958A,248,Driggs Ave,"Brooklyn,  NY",,,
8699770443,71,0326P,248,Driggs Ave,"Brooklyn,  NY",,,
8718762025,14,0753A,257,Driggs Ave,"Brooklyn,  NY",,,
8611688545,19,0223P,509,Driggs Ave,"Brooklyn,  NY",,,
8702767247,70,0155P,188,Dupont St,"Brooklyn,  NY",,,
8702767235,71,0153P,188,Dupont St,"Brooklyn,  NY",,,
8699770431,71,0324P,104,Eckford St,"Brooklyn,  NY",,,
8699770420,71,0322P,133,Eckford St,"Brooklyn,  NY",,,
8677378315,14,0902A,147,Eckford St,"Brooklyn,  NY",,,
8699770418,71,0318P,181,Eckford St,"Brooklyn,  NY",,,
8699770352,14,0211P,128,Franklin St,"Brooklyn,  NY",,,
8725653799,14,0421P,128,Franklin St,"Brooklyn,  NY",,,
8708932256,71,1117A,208,Franklin St,"Brooklyn,  NY",,,
8699770984,71,0100P,192,Graham Ave,"Brooklyn,  NY",,,
8699770972,71,1254P,269,Graham Ave,"Brooklyn,  NY",,,
8698408394,46,1108A,376,Graham Ave,"Brooklyn,  NY",,,
8636958805,21,1036A,441,Graham Ave,"Brooklyn,  NY",,,
8699770455,70,0330P,509,Graham Ave,"Brooklyn,  NY",,,
8708932440,19,0605P,568,Graham Ave,"Brooklyn,  NY",,,
8702766760,71,0904A,609,Grand St,"Brooklyn,  NY",,,
8702767090,71,0101P,37,Greenpoint Ave,"Brooklyn,  NY",,,
8677378420,71,1218P,77,Greenpoint Ave,"Brooklyn,  NY",,,
8708932244,71,1114A,107,Greenpoint Ave,"Brooklyn,  NY",,,
8677378376,71,0943A,184,Greenpoint Ave,"Brooklyn,  NY",,,
8708932323,71,0201P,30,Havemeyer St,"Brooklyn,  NY",,,
8702766954,21,1158A,10,Herbert St,"Brooklyn,  NY",,,
8724652076,21,1157A,50,Herbert St,"Brooklyn,  NY",,,
8724652088,21,1158A,50,Herbert St,"Brooklyn,  NY",,,
8724652064,21,1156A,55,Herbert St,"Brooklyn,  NY",,,
8724651941,21,1141A,89,Herbert St,"Brooklyn,  NY",,,
8724651930,21,1140A,91,Herbert St,"Brooklyn,  NY",,,
8724651928,21,1139A,95,Herbert St,"Brooklyn,  NY",,,
8699770248,71,1242P,174,Huron St,"Brooklyn,  NY",,,
8699770250,70,1250P,216,Huron St,"Brooklyn,  NY",,,
8611688790,40,0605P,74,India St,"Brooklyn,  NY",,,
8611688788,71,0601P,84,India St,"Brooklyn,  NY",,,
8699770297,71,0104P,167,India St,"Brooklyn,  NY",,,
8699770273,82,1258P,228,India St,"Brooklyn,  NY",,,
8699770261,82,1256P,232,India St,"Brooklyn,  NY",,,
8702767107,71,0107P,49,Java St,"Brooklyn,  NY",,,
8699770194,70,1140A,89,Java St,"Brooklyn,  NY",,,
8699770200,71,1142A,109,Java St,"Brooklyn,  NY",,,
8699770212,70,1145A,137,Java St,"Brooklyn,  NY",,,
8677378431,71,1251P,141,Java St,"Brooklyn,  NY",,,
8699770224,71,1146A,141,Java St,"Brooklyn,  NY",,,
8699770236,71,1147A,145,Java St,"Brooklyn,  NY",,,
8699770170,71,1131A,93,Kent Ave,"Brooklyn,  NY",,,
8702767351,20,0344P,127,Kent Ave,"Brooklyn,  NY",,,
8678424898,16,1125A,156,Kent St,"Brooklyn,  NY",,,
8677378390,71,1038A,158,Kent St,"Brooklyn,  NY",,,
8699770315,71,0200P,167,Kent St,"Brooklyn,  NY",,,
8699770303,70,0116P,232,Kent St,"Brooklyn,  NY",,,
8677378418,70,1137A,257,Kent St,"Brooklyn,  NY",,,
8677378406,70,1135A,259,Kent St,"Brooklyn,  NY",,,
8702766840,40,1022A,224,Kingsland Ave,"Brooklyn,  NY",,,
8702766851,71,1046A,300,Kingsland Ave,"Brooklyn,  NY",,,
8702766863,82,1048A,300,Kingsland Ave,"Brooklyn,  NY",,,
8699770765,21,0943A,314,Leonard St,"Brooklyn,  NY",,,
8699770753,21,0942A,316,Leonard St,"Brooklyn,  NY",,,
8692589615,21,0950A,343,Leonard St,"Brooklyn,  NY",,,
8670481340,40,0206P,520,Leonard St,"Brooklyn,  NY",,,
8670481352,71,0315P,542,Leonard St,"Brooklyn,  NY",,,
8699770510,71,0613P,601,Leonard St,"Brooklyn,  NY",,,
8699770613,74,0804A,68,Lombardy St,"Brooklyn,  NY",,,
8702766723,21,0846A,493,Lorimer St,"Brooklyn,  NY",,,
8702766735,21,0847A,499,Lorimer St,"Brooklyn,  NY",,,
8699770844,21,0951A,588,Lorimer St,"Brooklyn,  NY",,,
8699770856,21,0953A,592,Lorimer St,"Brooklyn,  NY",,,
8699770868,21,0953A,592,Lorimer St,"Brooklyn,  NY",,,
8699770870,21,0956A,636,Lorimer St,"Brooklyn,  NY",,,
8699770522,40,0707A,732,Lorimer St,"Brooklyn,  NY",,,
8649427080,71,1237P,945,Lorimer St,"Brooklyn,  NY",,,
8649427091,71,1242P,979,Lorimer St,"Brooklyn,  NY",,,
8702766784,21,0910A,201,Manhattan Ave,"Brooklyn,  NY",,,
8702766796,21,0911A,201,Manhattan Ave,"Brooklyn,  NY",,,
8702766802,71,0912A,201,Manhattan Ave,"Brooklyn,  NY",,,
8702766747,21,0856A,245,Manhattan Ave,"Brooklyn,  NY",,,
8702766772,21,0909A,295,Manhattan Ave,"Brooklyn,  NY",,,
8636958880,21,1214P,317,Manhattan Ave,"Brooklyn,  NY",,,
8699770900,21,1139A,335,Manhattan Ave,"Brooklyn,  NY",,,
8670481285,21,1150A,379,Manhattan Ave,"Brooklyn,  NY",,,
8670481297,70,1151A,379,Manhattan Ave,"Brooklyn,  NY",,,
8670481182,21,1137A,400,Manhattan Ave,"Brooklyn,  NY",,,
8670481170,21,1136A,404,Manhattan Ave,"Brooklyn,  NY",,,
8708854786,71,1009A,657,Manhattan Ave,"Brooklyn,  NY",,,
8678424862,38,1012A,670,Manhattan Ave,"Brooklyn,  NY",,,
8678424989,38,0141P,717,Manhattan Ave,"Brooklyn,  NY",,,
8678424990,74,0142P,717,Manhattan Ave,"Brooklyn,  NY",,,
8678424874,38,1017A,720,Manhattan Ave,"Brooklyn,  NY",,,
8708854907,38,0140P,720,Manhattan Ave,"Brooklyn,  NY",,,
8708854890,38,0138P,736,Manhattan Ave,"Brooklyn,  NY",,,
8699770406,71,0230P,739,Manhattan Ave,"Brooklyn,  NY",,,
8678424886,38,1022A,741,Manhattan Ave,"Brooklyn,  NY",,,
8611688661,38,0338P,757,Manhattan Ave,"Brooklyn,  NY",,,
8611688673,38,0340P,757,Manhattan Ave,"Brooklyn,  NY",,,
8678424977,38,0133P,788,Manhattan Ave,"Brooklyn,  NY",,,
8611688685,70,0345P,795,Manhattan Ave,"Brooklyn,  NY",,,
8708854889,20,0130P,802,Manhattan Ave,"Brooklyn,  NY",,,
8708854798,38,1037A,849,Manhattan Ave,"Brooklyn,  NY",,,
8611688739,38,0527P,857,Manhattan Ave,"Brooklyn,  NY",,,
8611688752,38,0531P,861,Manhattan Ave,"Brooklyn,  NY",,,
8698408369,19,1032A,887,Manhattan Ave,"Brooklyn,  NY",,,
8699770327,71,0202P,887,Manhattan Ave,"Brooklyn,  NY",,,
8677378388,38,1017A,918,Manhattan Ave,"Brooklyn,  NY",,,
8708854804,48,1125A,926,Manhattan Ave,"Brooklyn,  NY",,,
8678424953,38,1215P,937,Manhattan Ave,"Brooklyn,  NY",,,
8611688776,38,0550P,937,Manhattan Ave,"Brooklyn,  NY",,,
8718762013,21,0742A,992,Manhattan Ave,"Brooklyn,  NY",,,
8678424904,38,1135A,1007,Manhattan Ave,"Brooklyn,  NY",,,
8708854816,38,1135A,1007,Manhattan Ave,"Brooklyn,  NY",,,
8708854865,71,1209P,1013,Manhattan Ave,"Brooklyn,  NY",,,
8678424916,38,1138A,1018,Manhattan Ave,"Brooklyn,  NY",,,
8678424928,70,1139A,1018,Manhattan Ave,"Brooklyn,  NY",,,
8708854828,38,1139A,1025,Manhattan Ave,"Brooklyn,  NY",,,
8708854830,70,1141A,1053,Manhattan Ave,"Brooklyn,  NY",,,
8708854841,70,1143A,1055,Manhattan Ave,"Brooklyn,  NY",,,
8678424941,38,1204P,1077,Manhattan Ave,"Brooklyn,  NY",,,
8702767156,19,0126P,1104,Manhattan Ave,"Brooklyn,  NY",,,
8702767181,70,0137P,1150,Manhattan Ave,"Brooklyn,  NY",,,
8702767430,14,0558P,82,Maspeth Ave,"Brooklyn,  NY",,,
1449725090,51,0120A,256,MCGUINNESS BLVD,"Brooklyn,  NY",,,
8699770285,71,0101P,293,McGuinness Blvd,"Brooklyn,  NY",,,
8702767168,71,0130P,404,McGuinness Blvd,"Brooklyn,  NY",,,
8699770534,70,0718A,240,Meeker Ave,"Brooklyn,  NY",,,
8702766589,71,0649A,240,Meeker Ave,"Brooklyn,  NY",,,
8724651898,68,1123A,240,Meeker Ave,"Brooklyn,  NY",,,
8636958787,74,1015A,372,Meeker Ave,"Brooklyn,  NY",,,
8636958799,71,1019A,372,Meeker Ave,"Brooklyn,  NY",,,
8699770480,71,0430P,621,Meeker Ave,"Brooklyn,  NY",,,
8699770492,74,0440P,667,Meeker Ave,"Brooklyn,  NY",,,
1450764216,74,0815A,968,MEEKER AVE,"Brooklyn,  NY",,,
8702767340,74,0332P,91,Metropolitan Ave,"Brooklyn,  NY",,,
8636958891,19,1217P,650,Metropolitan Ave,"Brooklyn,  NY",,,
8636958908,20,1218P,650,Metropolitan Ave,"Brooklyn,  NY",,,
8699770340,71,0208P,106,Milton St,"Brooklyn,  NY",,,
8699770339,71,0206P,118,Milton St,"Brooklyn,  NY",,,
8702766826,74,0930A,17,Monitor St,"Brooklyn,  NY",,,
8724651989,21,1145A,17,Monitor St,"Brooklyn,  NY",,,
8724651990,21,1146A,17,Monitor St,"Brooklyn,  NY",,,
8724652003,21,1147A,17,Monitor St,"Brooklyn,  NY",,,
8724651977,21,1144A,21,Monitor St,"Brooklyn,  NY",,,
8724651904,21,1136A,37,Monitor St,"Brooklyn,  NY",,,
8724651916,21,1137A,37,Monitor St,"Brooklyn,  NY",,,
8699770509,71,0534P,99,Monitor St,"Brooklyn,  NY",,,
8718761999,21,0739A,918,Monitor St,"Brooklyn,  NY",,,
8718762001,21,0740A,952,Monitor St,"Brooklyn,  NY",,,
8708932281,70,0105P,398,Morgan Ave,"Brooklyn,  NY",,,
8718761951,20,0716A,420,Morgan Ave,"Brooklyn,  NY",,,
8699770625,14,0809A,560,Morgan Ave,"Brooklyn,  NY",,,
8702766887,71,1110A,640,Morgan Ave,"Brooklyn,  NY",,,
8702766875,71,1109A,654,Morgan Ave,"Brooklyn,  NY",,,
8702766899,20,1112A,670,Morgan Ave,"Brooklyn,  NY",,,
8702766966,20,1217P,670,Morgan Ave,"Brooklyn,  NY",,,
8677378297,71,0840A,142,N 10th St,"Brooklyn,  NY",,,
8677378303,71,0842A,142,N 10th St,"Brooklyn,  NY",,,
8611688624,71,0304P,190,N 10th St,"Brooklyn,  NY",,,
8724652143,71,0346P,220,N 10th St,"Brooklyn,  NY",,,
8722754039,16,1246P,113,N 3rd St,"Brooklyn,  NY",,,
8722754040,14,0131P,119,N 4th St,"Brooklyn,  NY",,,
8722754052,14,0219P,119,N 4th St,"Brooklyn,  NY",,,
8725653714,16,0329P,123,N 4th St,"Brooklyn,  NY",,,
8725653726,16,0331P,126,N 4th St,"Brooklyn,  NY",,,
8722753965,71,1151A,159,N 4th St,"Brooklyn,  NY",,,
8722753953,14,1108A,159,N 4th St,"Brooklyn,  NY",,,
8702766700,20,0831A,230,N 4th St,"Brooklyn,  NY",,,
8579222011,20,0808A,79,N 5th St,"Brooklyn,  NY",,,
8725653763,20,0403P,48,N 6th St,"Brooklyn,  NY",,,
8725653775,20,0404P,50,N 6th St,"Brooklyn,  NY",,,
8725653738,16,0337P,113,N 6th St,"Brooklyn,  NY",,,
8611688508,40,0151P,141,N 6th St,"Brooklyn,  NY",,,
8611688510,70,0203P,244,N 6th St,"Brooklyn,  NY",,,
8725653751,16,0343P,154,N 7th St,"Brooklyn,  NY",,,
8725653740,16,0341P,242,N 7th St,"Brooklyn,  NY",,,
8611688582,71,0242P,205,N 9th St,"Brooklyn,  NY",,,
8611688570,71,0239P,225,N 9th St,"Brooklyn,  NY",,,
8611688569,71,0236P,238,N 9th St,"Brooklyn,  NY",,,
8724652039,21,1151A,4,N Henry St,"Brooklyn,  NY",,,
8724652040,21,1153A,27,N Henry St,"Brooklyn,  NY",,,
8724652052,21,1154A,31,N Henry St,"Brooklyn,  NY",,,
8692589810,21,1219P,35,N Henry St,"Brooklyn,  NY",,,
8692589809,21,1218P,39,N Henry St,"Brooklyn,  NY",,,
8699770388,71,0217P,49,Noble St,"Brooklyn,  NY",,,
8699770390,71,0221P,99,Noble St,"Brooklyn,  NY",,,
8708854877,38,0125P,156,Noble St,"Brooklyn,  NY",,,
8702767077,71,1247P,122,Norman Ave,"Brooklyn,  NY",,,
8702767065,71,1245P,124,Norman Ave,"Brooklyn,  NY",,,
8702767053,71,1241P,190,Norman Ave,"Brooklyn,  NY",,,
8702767041,71,1240P,192,Norman Ave,"Brooklyn,  NY",,,
8708932270,71,1215P,212,Norman Ave,"Brooklyn,  NY",,,
8702767028,71,1235P,215,Norman Ave,"Brooklyn,  NY",,,
8702767016,20,1234P,215,Norman Ave,"Brooklyn,  NY",,,
8702766759,21,0900A,1,Powers St,"Brooklyn,  NY",,,
8692589718,21,1006A,141,Richardson St,"Brooklyn,  NY",,,
8692589706,21,1005A,143,Richardson St,"Brooklyn,  NY",,,
8692589690,21,1003A,150,Richardson St,"Brooklyn,  NY",,,
8636958817,21,1136A,169,Richardson St,"Brooklyn,  NY",,,
8636958830,71,1144A,192,Richardson St,"Brooklyn,  NY",,,
8636958854,21,1151A,203,Richardson St,"Brooklyn,  NY",,,
8636958842,46,1149A,210,Richardson St,"Brooklyn,  NY",,,
8699770960,21,1231P,241,Richardson St,"Brooklyn,  NY",,,
8724652015,21,1148A,241,Richardson St,"Brooklyn,  NY",,,
8724652027,21,1149A,241,Richardson St,"Brooklyn,  NY",,,
8718761940,14,0710A,242,Richardson St,"Brooklyn,  NY",,,
8692589846,14,1231P,242,Richardson St,"Brooklyn,  NY",,,
8692589822,20,1226P,284,Richardson St,"Brooklyn,  NY",,,
8692589834,51,1228P,284,Richardson St,"Brooklyn,  NY",,,
8702766681,74,0818A,123,Roebling St,"Brooklyn,  NY",,,
8718761963,20,0724A,129,Russell St,"Brooklyn,  NY",,,
8702767030,71,1237P,193,Russell St,"Brooklyn,  NY",,,
1446452438,40,1030P,1530,SHERIDAN,"Brooklyn,  NY",,,
8718762232,21,0937A,57,Skillman Ave,"Brooklyn,  NY",,,
8718762244,21,0938A,65,Skillman Ave,"Brooklyn,  NY",,,
8718762256,21,0939A,69,Skillman Ave,"Brooklyn,  NY",,,
8718762268,21,0941A,105,Skillman Ave,"Brooklyn,  NY",,,
8718762270,21,0942A,115,Skillman Ave,"Brooklyn,  NY",,,
8718762281,21,0943A,121,Skillman Ave,"Brooklyn,  NY",,,
8692589743,21,1140A,143,Skillman Ave,"Brooklyn,  NY",,,
1452639280,71,0501P,34,THOMAS ST,"Brooklyn,  NY",,,
1452639292,61,0503P,34,THOMAS ST,"Brooklyn,  NY",,,
8702767004,71,1229P,68,Vandam St,"Brooklyn,  NY",,,
8699770601,70,0801A,507,Vandervoort Ave,"Brooklyn,  NY",,,
8643337948,19,0539P,104,West St,"Brooklyn,  NY",,,
8708932384,19,0320P,104,West St,"Brooklyn,  NY",,,
8708932372,19,0319P,104,West St,"Brooklyn,  NY",,,
8699770182,82,1135A,122,West St,"Brooklyn,  NY",,,
1449716301,98,1234P,60,WEST STREET,"Brooklyn,  NY",,,
8692589640,21,0955A,84,Withers St,"Brooklyn,  NY",,,
8692589652,21,0957A,106,Withers St,"Brooklyn,  NY",,,
8692589664,21,0958A,106,Withers St,"Brooklyn,  NY",,,
8692589676,21,1000A,125,Withers St,"Brooklyn,  NY",,,
8692589688,21,1001A,127,Withers St,"Brooklyn,  NY",,,
8670481273,21,1149A,145,Withers St,"Brooklyn,  NY",,,
8636958878,21,1202P,151,Withers St,"Brooklyn,  NY",,,
8670481261,21,1148A,159,Withers St,"Brooklyn,  NY",,,
8670481250,21,1146A,161,Withers St,"Brooklyn,  NY",,,
8692589858,72,1237P,173,Woodpoint Rd,"Brooklyn,  NY",,,
8702767442,14,0615P,80,Wythe Ave,"Brooklyn,  NY",,,
8579222000,16,0758A,175,Wythe Ave,"Brooklyn,  NY",,,
8677378285,70,0826A,185,Wythe Ave,"Brooklyn,  NY",,,
8702766711,20,0833A,230,Wythe Ave,"Brooklyn,  NY",,,
8677378273,71,0823A,268,Wythe Ave,"Brooklyn,  NY",,,
8677378261,71,0819A,324,Wythe Ave,"Brooklyn,  NY",,,
8677378250,71,0815A,355,Wythe Ave,"Brooklyn,  NY",,,
8677378248,74,0808A,473,Wythe Ave,"Brooklyn,  NY",,,
